Approved Symbol	Synonyms	UniProt ID(supplied by UniProt)
RHOG	RhoG, MGC125835, MGC125836	P84095
ARHGAP1	RhoGAP, p50rhoGAP, CDC42GAP, Cdc42GAP	Q07960
ARHGAP4	KIAA0131, C1, p115, RhoGAP4, SrGAP4	P98171
ARHGAP5	RhoGAP5, p190-B, p190BRhoGAP	Q13017
ARHGAP6	rhoGAPX-1	O43182
ARHGAP8	FLJ20185, BPGAP1	P85298
ARHGDIA	RHOGDI	P52565
ARHGDIB	Ly-GDI, RhoGDI2	P52566
ARHGDIG	RHOGDI-3	Q99819
ARHGEF1	P115-RHOGEF, SUB1.5, LBCL2	Q92888
ARHGEF2	LFP40, GEF-H1, KIAA0651, P40	Q92974
ARHGEF3	STA3, XPLN, GEF3, DKFZP434F2429	Q9NR81
ARHGEF4	STM6, KIAA1112, ASEF	Q9NR80
ARHGEF6	alphaPIX, Cool-2, KIAA0006, alpha-PIX, Cool2	Q15052
RHOH	RhoH, TTF	Q15669
DIRAS3	NOEY2	O95661
RHOJ	FLJ14445, TCL	Q9H4E5
ARIH1	HARI, HHARI, UBCH7BP, ARI	Q9Y4X5
ARIH2	TRIAD1	O95376
PHOX2A	PMX2A, CFEOM2	O14813
ARL1	ARFL1	P40616
ARL2	ARFL2	P36404
ARL3	ARFL3	P36405
ARL4A		P40617
ARL5A		Q9Y689
ARL6IP1	AIP1, ARMER, KIAA0069, SPG61	Q15041
ARL4C	LAK	P56559
ARNT	HIF-1beta, bHLHe2	P27540
ARNTL	MOP3, JAP3, BMAL1, PASD3, bHLHe5	O00327
ARPC1A	SOP2Hs, SOP2L, Arc40	Q92747
ARPC1B	ARC41, p40-ARC, p41-ARC	O15143
ARPC2	p34-Arc, ARC34	O15144
ARPC3	p21-Arc, ARC21	O15145
ARPC4	p20-Arc, ARC20	P59998
ARPC5	p16-Arc, ARC16, dJ127C7.3	O15511
ARR3	ARRX	P36575
ARRB1		P49407
ARRB2	BARR2, DKFZp686L0365	P32121
ARSA		P15289
ARSB		P15848
ARSC2		
ARSD		P51689
ARSDP1	ARSDY1	
ARSE		P51690
ARSEP1		
ARSF		P54793
ARSFP1		
ART1	ART2, CD296	P52961
ART2P	ART1P	
ART3		Q13508
ART4	DOK1, CD297	Q93070
ARTN	NBN, EVN, ENOVIN	Q5T4W7
ARVCF		O00192
ARVD3		
ARVD4		
ASAH1	AC, PHP32, FLJ21558	Q13510
NAAA		Q02083
ASCL1	ASH1, HASH1, bHLHa46	P50553
ASCL2	ASH2, HASH2, bHLHa45	Q99929
ASCL3	bHLHa42, HASH3, Sgn1	Q9NQ33
ASD1		
ASGR1	CLEC4H1	P07306
ASGR2	CLEC4H2	P07307
ASH2L	ASH2L2, ASH2, Bre2	Q9UBL3
ASIP	ASP	P42127
ASL		P04424
ASLP1		
ASMT	HIOMT, ASMTY, HIOMTY	P46597
ASMTL		O95671
ASNA1	ARSA-I, GET3, TRC40	O43681
ASNS		P08243
ASNSP1		
ASNSP2		
ASPA	ASP, ACY2	P45381
ASPH	CASQ2BP1, BAH, JCTN, HAAH	Q12797
ASS1	CTLN1	P00966
ASS1P1		
ASS1P10		
ASS1P11	TCAG_1641141	
ASS1P12		
ASS1P13		
ASS1P14		
ASS1P2		
ASS1P3		
ASS1P4		
ASS1P5		
ASS1P6		
ASS1P7		
ASS1P8		
ASS1P9		
ASTN1		O14525
SERPINC1	ATIII, MGC22579	P01008
ZFHX3	ZNF927	Q15911
ATCAY		Q86WG3
ATD		
ATE1		O95260
ATF1	TREB36	P18846
ATF2	TREB7, CRE-BP1, HB16	P15336
ATF3		P18847
